ID_MARCA,MARCA,ID_LINHA,LINHA,DATA_VENDA,QTD_VENDA
1,BOTICÁRIO,4,SOLAR,17/9/2019,5
2,EUDORA,3,MAQUIAGEM,7/4/2019,12
2,EUDORA,5,HIDRATANTES,10/5/2019,14
4,VULT,5,HIDRATANTES,21/1/2019,15
2,EUDORA,2,PERFUMARIA,14/3/2019,20
4,VULT,3,MAQUIAGEM,8/2/2019,5
1,BOTICÁRIO,5,HIDRATANTES,25/2/2019,17
1,BOTICÁRIO,4,SOLAR,6/12/2019,13
1,BOTICÁRIO,3,MAQUIAGEM,30/6/2019,10
2,EUDORA,3,MAQUIAGEM,11/8/2019,18
2,EUDORA,3,MAQUIAGEM,10/5/2019,17
5,BELEZA NA WEB,1,CABELOS,25/9/2019,18
1,BOTICÁRIO,4,SOLAR,16/12/2019,8
3,QUEM DISSE BERENICE,3,MAQUIAGEM,27/5/2019,12
1,BOTICÁRIO,5,HIDRATANTES,8/12/2019,9
1,BOTICÁRIO,2,PERFUMARIA,23/8/2019,13
3,QUEM DISSE BERENICE,5,HIDRATANTES,28/6/2019,17
3,QUEM DISSE BERENICE,2,PERFUMARIA,17/12/2019,15
4,VULT,4,SOLAR,23/7/2019,5
5,BELEZA NA WEB,2,PERFUMARIA,27/2/2019,9
3,QUEM DISSE BERENICE,2,PERFUMARIA,31/10/2019,6
4,VULT,1,CABELOS,15/8/2019,5
1,BOTICÁRIO,2,PERFUMARIA,24/9/2019,20
5,BELEZA NA WEB,1,CABELOS,21/2/2019,12
2,EUDORA,3,MAQUIAGEM,19/10/2019,8
4,VULT,4,SOLAR,22/6/2019,12
4,VULT,2,PERFUMARIA,24/4/2019,10
4,VULT,1,CABELOS,23/7/2019,11
1,BOTICÁRIO,2,PERFUMARIA,14/3/2019,1
1,BOTICÁRIO,2,PERFUMARIA,26/5/2019,9
5,BELEZA NA WEB,1,CABELOS,4/10/2019,6
2,EUDORA,1,CABELOS,6/8/2019,9
3,QUEM DISSE BERENICE,4,SOLAR,24/3/2019,5
4,VULT,1,CABELOS,6/7/2019,14
1,BOTICÁRIO,1,CABELOS,21/6/2019,17
5,BELEZA NA WEB,2,PERFUMARIA,22/4/2019,10
4,VULT,4,SOLAR,11/11/2019,5
2,EUDORA,3,MAQUIAGEM,25/2/2019,6
3,QUEM DISSE BERENICE,3,MAQUIAGEM,6/12/2019,8
5,BELEZA NA WEB,1,CABELOS,10/12/2019,19
3,QUEM DISSE BERENICE,5,HIDRATANTES,17/11/2019,1
5,BELEZA NA WEB,1,CABELOS,17/4/2019,5
1,BOTICÁRIO,5,HIDRATANTES,17/12/2019,20
3,QUEM DISSE BERENICE,1,CABELOS,4/5/2019,14
2,EUDORA,4,SOLAR,14/2/2019,17
5,BELEZA NA WEB,3,MAQUIAGEM,14/6/2019,11
1,BOTICÁRIO,3,MAQUIAGEM,1/3/2019,17
1,BOTICÁRIO,5,HIDRATANTES,24/7/2019,6
2,EUDORA,2,PERFUMARIA,4/8/2019,7
3,QUEM DISSE BERENICE,3,MAQUIAGEM,22/8/2019,2
2,EUDORA,5,HIDRATANTES,25/6/2019,3
2,EUDORA,3,MAQUIAGEM,16/9/2019,9
4,VULT,1,CABELOS,7/2/2019,3
1,BOTICÁRIO,2,PERFUMARIA,25/1/2019,6
3,QUEM DISSE BERENICE,2,PERFUMARIA,27/2/2019,14
3,QUEM DISSE BERENICE,1,CABELOS,8/4/2019,7
3,QUEM DISSE BERENICE,4,SOLAR,25/10/2019,18
5,BELEZA NA WEB,2,PERFUMARIA,5/6/2019,15
1,BOTICÁRIO,3,MAQUIAGEM,11/2/2019,6
3,QUEM DISSE BERENICE,5,HIDRATANTES,5/11/2019,4
2,EUDORA,2,PERFUMARIA,4/8/2019,16
4,VULT,1,CABELOS,9/9/2019,19
4,VULT,3,MAQUIAGEM,18/12/2019,10
1,BOTICÁRIO,4,SOLAR,16/5/2019,10
4,VULT,4,SOLAR,10/5/2019,18
4,VULT,1,CABELOS,30/9/2019,18
2,EUDORA,1,CABELOS,22/5/2019,10
3,QUEM DISSE BERENICE,2,PERFUMARIA,12/1/2019,14
3,QUEM DISSE BERENICE,4,SOLAR,10/2/2019,2
5,BELEZA NA WEB,3,MAQUIAGEM,31/8/2019,14
1,BOTICÁRIO,1,CABELOS,2/4/2019,2
2,EUDORA,5,HIDRATANTES,15/4/2019,17
1,BOTICÁRIO,5,HIDRATANTES,22/8/2019,8
3,QUEM DISSE BERENICE,4,SOLAR,30/4/2019,18
5,BELEZA NA WEB,3,MAQUIAGEM,11/10/2019,5
4,VULT,5,HIDRATANTES,14/12/2019,16
4,VULT,3,MAQUIAGEM,16/5/2019,14
4,VULT,5,HIDRATANTES,8/7/2019,3
1,BOTICÁRIO,5,HIDRATANTES,27/7/2019,11
5,BELEZA NA WEB,1,CABELOS,10/11/2019,2
4,VULT,4,SOLAR,5/10/2019,11
1,BOTICÁRIO,1,CABELOS,26/12/2019,20
2,EUDORA,2,PERFUMARIA,21/6/2019,18
3,QUEM DISSE BERENICE,4,SOLAR,22/1/2019,5
3,QUEM DISSE BERENICE,2,PERFUMARIA,1/7/2019,3
4,VULT,4,SOLAR,22/1/2019,6
5,BELEZA NA WEB,4,SOLAR,11/2/2019,5
2,EUDORA,3,MAQUIAGEM,10/1/2019,10
5,BELEZA NA WEB,4,SOLAR,26/8/2019,15
5,BELEZA NA WEB,3,MAQUIAGEM,20/7/2019,1
2,EUDORA,4,SOLAR,24/6/2019,20
1,BOTICÁRIO,1,CABELOS,23/6/2019,14
5,BELEZA NA WEB,3,MAQUIAGEM,26/9/2019,12
5,BELEZA NA WEB,5,HIDRATANTES,28/4/2019,2
3,QUEM DISSE BERENICE,1,CABELOS,16/11/2019,11
5,BELEZA NA WEB,5,HIDRATANTES,17/6/2019,16
4,VULT,1,CABELOS,4/9/2019,8
1,BOTICÁRIO,5,HIDRATANTES,29/1/2019,19
3,QUEM DISSE BERENICE,4,SOLAR,30/10/2019,5
3,QUEM DISSE BERENICE,1,CABELOS,17/9/2019,5
3,QUEM DISSE BERENICE,4,SOLAR,16/10/2019,14
2,EUDORA,5,HIDRATANTES,22/2/2019,1
4,VULT,5,HIDRATANTES,8/11/2019,10
3,QUEM DISSE BERENICE,1,CABELOS,22/6/2019,6
4,VULT,2,PERFUMARIA,28/3/2019,7
3,QUEM DISSE BERENICE,4,SOLAR,7/10/2019,1
2,EUDORA,4,SOLAR,11/2/2019,5
1,BOTICÁRIO,4,SOLAR,23/1/2019,18
4,VULT,5,HIDRATANTES,22/5/2019,3
2,EUDORA,5,HIDRATANTES,24/8/2019,3
5,BELEZA NA WEB,2,PERFUMARIA,31/7/2019,8
3,QUEM DISSE BERENICE,3,MAQUIAGEM,18/12/2019,2
3,QUEM DISSE BERENICE,4,SOLAR,6/11/2019,19
2,EUDORA,3,MAQUIAGEM,6/12/2019,12
1,BOTICÁRIO,1,CABELOS,5/6/2019,8
2,EUDORA,4,SOLAR,17/4/2019,19
1,BOTICÁRIO,1,CABELOS,22/7/2019,13
4,VULT,5,HIDRATANTES,19/10/2019,3
4,VULT,5,HIDRATANTES,20/1/2019,9
5,BELEZA NA WEB,2,PERFUMARIA,3/7/2019,15
2,EUDORA,5,HIDRATANTES,19/11/2019,18
1,BOTICÁRIO,3,MAQUIAGEM,9/4/2019,16
3,QUEM DISSE BERENICE,5,HIDRATANTES,11/7/2019,17
4,VULT,2,PERFUMARIA,8/1/2019,17
5,BELEZA NA WEB,2,PERFUMARIA,4/4/2019,18
2,EUDORA,2,PERFUMARIA,30/7/2019,6
4,VULT,1,CABELOS,27/9/2019,5
4,VULT,1,CABELOS,14/3/2019,20
4,VULT,2,PERFUMARIA,26/6/2019,12
3,QUEM DISSE BERENICE,4,SOLAR,20/2/2019,11
2,EUDORA,5,HIDRATANTES,7/4/2019,13
3,QUEM DISSE BERENICE,3,MAQUIAGEM,2/3/2019,8
3,QUEM DISSE BERENICE,2,PERFUMARIA,25/4/2019,6
5,BELEZA NA WEB,3,MAQUIAGEM,27/12/2019,3
3,QUEM DISSE BERENICE,1,CABELOS,6/11/2019,19
1,BOTICÁRIO,5,HIDRATANTES,1/6/2019,12
2,EUDORA,4,SOLAR,19/9/2019,9
2,EUDORA,2,PERFUMARIA,1/5/2019,2
4,VULT,5,HIDRATANTES,22/6/2019,7
5,BELEZA NA WEB,5,HIDRATANTES,2/1/2019,19
4,VULT,3,MAQUIAGEM,4/9/2019,18
2,EUDORA,2,PERFUMARIA,25/1/2019,9
4,VULT,1,CABELOS,28/10/2019,4
4,VULT,3,MAQUIAGEM,11/2/2019,1
4,VULT,2,PERFUMARIA,8/3/2019,12
1,BOTICÁRIO,1,CABELOS,20/8/2019,10
1,BOTICÁRIO,2,PERFUMARIA,21/5/2019,3
3,QUEM DISSE BERENICE,4,SOLAR,6/4/2019,11
4,VULT,4,SOLAR,28/9/2019,3
3,QUEM DISSE BERENICE,3,MAQUIAGEM,4/8/2019,13
1,BOTICÁRIO,3,MAQUIAGEM,1/7/2019,1
2,EUDORA,1,CABELOS,10/9/2019,5
5,BELEZA NA WEB,2,PERFUMARIA,11/8/2019,14
5,BELEZA NA WEB,3,MAQUIAGEM,30/7/2019,12
1,BOTICÁRIO,5,HIDRATANTES,9/1/2019,9
3,QUEM DISSE BERENICE,2,PERFUMARIA,13/6/2019,5
1,BOTICÁRIO,3,MAQUIAGEM,12/10/2019,9
3,QUEM DISSE BERENICE,2,PERFUMARIA,15/8/2019,16
5,BELEZA NA WEB,1,CABELOS,26/7/2019,19
4,VULT,4,SOLAR,15/12/2019,19
1,BOTICÁRIO,3,MAQUIAGEM,14/10/2019,10
3,QUEM DISSE BERENICE,2,PERFUMARIA,1/4/2019,18
2,EUDORA,4,SOLAR,23/7/2019,10
5,BELEZA NA WEB,3,MAQUIAGEM,11/6/2019,8
5,BELEZA NA WEB,3,MAQUIAGEM,8/8/2019,10
3,QUEM DISSE BERENICE,2,PERFUMARIA,8/4/2019,3
1,BOTICÁRIO,1,CABELOS,19/1/2019,8
5,BELEZA NA WEB,1,CABELOS,29/8/2019,10
1,BOTICÁRIO,2,PERFUMARIA,2/8/2019,10
2,EUDORA,1,CABELOS,1/5/2019,5
3,QUEM DISSE BERENICE,3,MAQUIAGEM,5/4/2019,20
3,QUEM DISSE BERENICE,3,MAQUIAGEM,3/7/2019,1
1,BOTICÁRIO,2,PERFUMARIA,21/8/2019,19
5,BELEZA NA WEB,2,PERFUMARIA,15/7/2019,15
5,BELEZA NA WEB,2,PERFUMARIA,21/4/2019,4
2,EUDORA,5,HIDRATANTES,20/3/2019,18
5,BELEZA NA WEB,5,HIDRATANTES,4/8/2019,10
3,QUEM DISSE BERENICE,2,PERFUMARIA,8/4/2019,20
4,VULT,1,CABELOS,27/11/2019,2
4,VULT,5,HIDRATANTES,10/8/2019,11
4,VULT,5,HIDRATANTES,21/7/2019,2
5,BELEZA NA WEB,5,HIDRATANTES,8/10/2019,11
2,EUDORA,1,CABELOS,7/8/2019,2
1,BOTICÁRIO,1,CABELOS,7/10/2019,8
3,QUEM DISSE BERENICE,1,CABELOS,16/7/2019,5
4,VULT,4,SOLAR,5/8/2019,16
3,QUEM DISSE BERENICE,3,MAQUIAGEM,1/12/2019,12
1,BOTICÁRIO,3,MAQUIAGEM,13/4/2019,1
3,QUEM DISSE BERENICE,4,SOLAR,27/10/2019,13
4,VULT,3,MAQUIAGEM,24/11/2019,2
3,QUEM DISSE BERENICE,2,PERFUMARIA,25/12/2019,13
2,EUDORA,2,PERFUMARIA,15/6/2019,18
5,BELEZA NA WEB,3,MAQUIAGEM,2/9/2019,19
1,BOTICÁRIO,4,SOLAR,8/12/2019,15
4,VULT,1,CABELOS,21/5/2019,2
3,QUEM DISSE BERENICE,5,HIDRATANTES,11/5/2019,4
5,BELEZA NA WEB,2,PERFUMARIA,15/12/2019,15
5,BELEZA NA WEB,2,PERFUMARIA,30/8/2019,1
3,QUEM DISSE BERENICE,5,HIDRATANTES,28/4/2019,8
4,VULT,2,PERFUMARIA,2/9/2019,4
3,QUEM DISSE BERENICE,1,CABELOS,17/5/2019,10
4,VULT,2,PERFUMARIA,27/6/2019,5
5,BELEZA NA WEB,4,SOLAR,28/8/2019,5
1,BOTICÁRIO,2,PERFUMARIA,22/4/2019,10
4,VULT,1,CABELOS,15/11/2019,20
1,BOTICÁRIO,3,MAQUIAGEM,24/8/2019,15
4,VULT,3,MAQUIAGEM,21/7/2019,11
4,VULT,5,HIDRATANTES,14/10/2019,13
5,BELEZA NA WEB,5,HIDRATANTES,2/11/2019,1
3,QUEM DISSE BERENICE,1,CABELOS,30/3/2019,8
3,QUEM DISSE BERENICE,2,PERFUMARIA,3/12/2019,8
3,QUEM DISSE BERENICE,2,PERFUMARIA,12/12/2019,10
3,QUEM DISSE BERENICE,4,SOLAR,8/3/2019,7
2,EUDORA,2,PERFUMARIA,25/10/2019,6
3,QUEM DISSE BERENICE,1,CABELOS,17/5/2019,3
4,VULT,5,HIDRATANTES,30/5/2019,6
5,BELEZA NA WEB,4,SOLAR,9/11/2019,15
2,EUDORA,5,HIDRATANTES,31/5/2019,11
2,EUDORA,2,PERFUMARIA,5/4/2019,7
4,VULT,1,CABELOS,14/9/2019,3
3,QUEM DISSE BERENICE,3,MAQUIAGEM,27/2/2019,18
2,EUDORA,2,PERFUMARIA,10/10/2019,20
2,EUDORA,3,MAQUIAGEM,16/10/2019,11
3,QUEM DISSE BERENICE,5,HIDRATANTES,20/1/2019,13
3,QUEM DISSE BERENICE,2,PERFUMARIA,28/4/2019,3
2,EUDORA,3,MAQUIAGEM,9/10/2019,11
3,QUEM DISSE BERENICE,5,HIDRATANTES,26/1/2019,2
4,VULT,1,CABELOS,26/5/2019,20
4,VULT,3,MAQUIAGEM,15/2/2019,11
3,QUEM DISSE BERENICE,4,SOLAR,20/12/2019,20
1,BOTICÁRIO,4,SOLAR,5/1/2019,13
4,VULT,5,HIDRATANTES,18/11/2019,18
3,QUEM DISSE BERENICE,1,CABELOS,15/10/2019,8
5,BELEZA NA WEB,5,HIDRATANTES,9/8/2019,8
4,VULT,3,MAQUIAGEM,9/5/2019,8
5,BELEZA NA WEB,2,PERFUMARIA,19/4/2019,11
2,EUDORA,2,PERFUMARIA,12/11/2019,4
2,EUDORA,1,CABELOS,15/11/2019,8
4,VULT,1,CABELOS,20/5/2019,8
3,QUEM DISSE BERENICE,5,HIDRATANTES,29/9/2019,6
4,VULT,3,MAQUIAGEM,7/8/2019,20
2,EUDORA,2,PERFUMARIA,5/12/2019,16
5,BELEZA NA WEB,4,SOLAR,12/8/2019,9
3,QUEM DISSE BERENICE,4,SOLAR,5/3/2019,15
3,QUEM DISSE BERENICE,4,SOLAR,18/2/2019,20
5,BELEZA NA WEB,1,CABELOS,1/3/2019,7
2,EUDORA,2,PERFUMARIA,21/8/2019,10
3,QUEM DISSE BERENICE,1,CABELOS,1/7/2019,14
4,VULT,4,SOLAR,21/4/2019,2
4,VULT,2,PERFUMARIA,22/5/2019,1
4,VULT,1,CABELOS,10/8/2019,17
2,EUDORA,5,HIDRATANTES,15/4/2019,16
3,QUEM DISSE BERENICE,3,MAQUIAGEM,15/12/2019,11
1,BOTICÁRIO,5,HIDRATANTES,20/10/2019,17
2,EUDORA,4,SOLAR,10/12/2019,14
3,QUEM DISSE BERENICE,1,CABELOS,8/5/2019,20
1,BOTICÁRIO,3,MAQUIAGEM,23/12/2019,13
4,VULT,4,SOLAR,27/1/2019,6
4,VULT,4,SOLAR,4/1/2019,14
2,EUDORA,5,HIDRATANTES,14/7/2019,2
1,BOTICÁRIO,4,SOLAR,10/8/2019,12
2,EUDORA,4,SOLAR,27/10/2019,18
2,EUDORA,2,PERFUMARIA,14/3/2019,11
2,EUDORA,3,MAQUIAGEM,29/11/2019,14
1,BOTICÁRIO,1,CABELOS,1/6/2019,14
5,BELEZA NA WEB,3,MAQUIAGEM,7/7/2019,16
3,QUEM DISSE BERENICE,1,CABELOS,12/8/2019,11
2,EUDORA,2,PERFUMARIA,11/11/2019,2
1,BOTICÁRIO,5,HIDRATANTES,5/10/2019,4
2,EUDORA,4,SOLAR,4/4/2019,8
2,EUDORA,1,CABELOS,29/11/2019,8
2,EUDORA,4,SOLAR,21/11/2019,15
1,BOTICÁRIO,4,SOLAR,26/10/2019,8
4,VULT,4,SOLAR,14/8/2019,14
4,VULT,5,HIDRATANTES,11/3/2019,13
2,EUDORA,2,PERFUMARIA,21/5/2019,2
3,QUEM DISSE BERENICE,3,MAQUIAGEM,25/6/2019,1
4,VULT,5,HIDRATANTES,14/11/2019,10
5,BELEZA NA WEB,4,SOLAR,11/4/2019,1
4,VULT,5,HIDRATANTES,24/2/2019,12
4,VULT,2,PERFUMARIA,23/7/2019,20
2,EUDORA,5,HIDRATANTES,31/10/2019,1
4,VULT,3,MAQUIAGEM,27/5/2019,16
5,BELEZA NA WEB,5,HIDRATANTES,10/6/2019,6
3,QUEM DISSE BERENICE,1,CABELOS,18/6/2019,4
4,VULT,4,SOLAR,21/3/2019,11
4,VULT,3,MAQUIAGEM,22/5/2019,17
2,EUDORA,4,SOLAR,20/6/2019,3
5,BELEZA NA WEB,3,MAQUIAGEM,6/2/2019,8
1,BOTICÁRIO,1,CABELOS,18/5/2019,2
3,QUEM DISSE BERENICE,3,MAQUIAGEM,14/10/2019,5
4,VULT,2,PERFUMARIA,25/8/2019,18
4,VULT,1,CABELOS,9/11/2019,14
1,BOTICÁRIO,2,PERFUMARIA,31/8/2019,4
5,BELEZA NA WEB,2,PERFUMARIA,17/5/2019,15
5,BELEZA NA WEB,3,MAQUIAGEM,24/8/2019,16
2,EUDORA,1,CABELOS,4/10/2019,12
3,QUEM DISSE BERENICE,2,PERFUMARIA,6/6/2019,16
3,QUEM DISSE BERENICE,4,SOLAR,13/6/2019,5
5,BELEZA NA WEB,4,SOLAR,10/9/2019,13
4,VULT,5,HIDRATANTES,11/12/2019,14
5,BELEZA NA WEB,4,SOLAR,25/9/2019,18
3,QUEM DISSE BERENICE,4,SOLAR,19/4/2019,5
1,BOTICÁRIO,1,CABELOS,30/1/2019,1
5,BELEZA NA WEB,5,HIDRATANTES,3/1/2019,16
1,BOTICÁRIO,2,PERFUMARIA,18/3/2019,6
3,QUEM DISSE BERENICE,3,MAQUIAGEM,14/11/2019,18
1,BOTICÁRIO,1,CABELOS,26/12/2019,13
4,VULT,1,CABELOS,20/4/2019,7
3,QUEM DISSE BERENICE,2,PERFUMARIA,25/7/2019,14
3,QUEM DISSE BERENICE,1,CABELOS,31/5/2019,11
5,BELEZA NA WEB,5,HIDRATANTES,20/2/2019,12
1,BOTICÁRIO,5,HIDRATANTES,16/9/2019,1
3,QUEM DISSE BERENICE,5,HIDRATANTES,25/11/2019,2
2,EUDORA,3,MAQUIAGEM,22/8/2019,3
2,EUDORA,3,MAQUIAGEM,12/9/2019,7
4,VULT,3,MAQUIAGEM,20/4/2019,3
3,QUEM DISSE BERENICE,4,SOLAR,21/2/2019,1
1,BOTICÁRIO,4,SOLAR,26/8/2019,19
4,VULT,3,MAQUIAGEM,15/5/2019,13
1,BOTICÁRIO,5,HIDRATANTES,28/6/2019,2
3,QUEM DISSE BERENICE,1,CABELOS,21/8/2019,3
4,VULT,4,SOLAR,26/1/2019,15
3,QUEM DISSE BERENICE,4,SOLAR,2/9/2019,11
1,BOTICÁRIO,4,SOLAR,13/5/2019,16
3,QUEM DISSE BERENICE,5,HIDRATANTES,9/1/2019,18
1,BOTICÁRIO,5,HIDRATANTES,25/3/2019,2
3,QUEM DISSE BERENICE,2,PERFUMARIA,28/7/2019,20
3,QUEM DISSE BERENICE,4,SOLAR,8/6/2019,18
5,BELEZA NA WEB,5,HIDRATANTES,6/3/2019,10
3,QUEM DISSE BERENICE,2,PERFUMARIA,24/4/2019,12
5,BELEZA NA WEB,1,CABELOS,20/11/2019,18
2,EUDORA,4,SOLAR,26/4/2019,18
1,BOTICÁRIO,5,HIDRATANTES,11/5/2019,6
3,QUEM DISSE BERENICE,3,MAQUIAGEM,9/9/2019,13
2,EUDORA,2,PERFUMARIA,26/2/2019,18
1,BOTICÁRIO,3,MAQUIAGEM,21/1/2019,10
4,VULT,2,PERFUMARIA,25/3/2019,14
2,EUDORA,2,PERFUMARIA,1/7/2019,4
1,BOTICÁRIO,2,PERFUMARIA,30/10/2019,11
2,EUDORA,3,MAQUIAGEM,29/3/2019,20
5,BELEZA NA WEB,3,MAQUIAGEM,26/9/2019,14
5,BELEZA NA WEB,1,CABELOS,24/4/2019,4
2,EUDORA,1,CABELOS,11/10/2019,6
1,BOTICÁRIO,1,CABELOS,1/5/2019,14
4,VULT,1,CABELOS,11/3/2019,12
4,VULT,5,HIDRATANTES,10/8/2019,2
1,BOTICÁRIO,4,SOLAR,3/11/2019,17
1,BOTICÁRIO,4,SOLAR,26/6/2019,7
1,BOTICÁRIO,2,PERFUMARIA,10/5/2019,19
5,BELEZA NA WEB,3,MAQUIAGEM,8/7/2019,19
1,BOTICÁRIO,1,CABELOS,8/5/2019,7
2,EUDORA,4,SOLAR,14/6/2019,6
3,QUEM DISSE BERENICE,4,SOLAR,11/11/2019,9
4,VULT,5,HIDRATANTES,1/8/2019,15
4,VULT,1,CABELOS,9/6/2019,3
4,VULT,5,HIDRATANTES,28/10/2019,20
